"","Word","N","M_Val","SD_Val","M_Aro","SD_Aro","M_Dom","SD_Dom","N_Female","N_Male","M_Val_Female","M_Val_Male","SD_Val_Female","SD_Val_Male","M_Aro_Female","M_Aro_Male","SD_Aro_Female","SD_Aro_Male","M_Dom_Female","M_Dom_Male","SD_Dom_Female","SD_Dom_Male","Item","English","Syllables_separation","Syllables","Length","Frequency","Categories"
"195","chisme",66,6.48484848484848,2.63259114382316,5.39393939393939,2.41711072200349,5.16666666666667,2.53336707130031,48,18,6.89583333333333,5.38888888888889,2.45156991241551,2.8520145385507,5.58333333333333,4.88888888888889,2.4739780467673,2.24627505750897,5.16666666666667,5.16666666666667,2.53765961311929,2.59524451981833,767,"gossip","chis-me",2,6,3.97,2
"196","chiste",64,7.328125,2.02409836874328,4.59375,2.38858894388657,6.46875,2.10794980513113,49,15,7.38775510204082,7.13333333333333,2.10966354476463,1.76743020337707,4.42857142857143,5.13333333333333,2.37170824512628,2.44559857314163,6.42857142857143,6.6,2.16024689946929,1.99284434199678,826,"joke","chis-te",2,6,12.46,1
"197","chocolate",66,8.10606060606061,1.3826261286606,3.18181818181818,2.44262841349919,7.39393939393939,2.02202326608229,42,24,8.23809523809524,7.875,1.2259296882222,1.62353612993903,3.02380952380952,3.45833333333333,2.48397886207273,2.39527009762567,7.47619047619048,7.25,1.85101284387758,2.32659482468712,505,"chocolate","cho-co-la-te",4,9,26.04,1
"198","choque",54,2.01851851851852,1.66530342570073,7.11111111111111,2.41588037522999,3.2037037037037,2.26856807658471,45,9,1.93333333333333,2.44444444444444,1.43653623819114,2.60341655863555,7.22222222222222,6.55555555555556,2.35380628778242,2.78886675511359,3.08888888888889,3.77777777777778,2.15134442344382,2.86259400621961,89,"crash","cho-que",2,6,21.44,2
"199","cicatriz",63,3.87301587301587,1.68955103305357,4.57142857142857,1.86404248285284,5.26984126984127,1.71526682967374,48,15,3.95833333333333,3.6,1.77402455466867,1.40407570003493,4.70833333333333,4.13333333333333,1.96737575869139,1.4573295865416,5.20833333333333,5.46666666666667,1.76199033172092,1.59761727343596,973,"scar","ci-ca-triz",3,8,6.02,1
"200","ciclón",80,3.025,2.09867348097479,6.4875,2.32756595849382,3.85,2.41880815927853,58,22,2.53448275862069,4.31818181818182,1.82781162645465,2.25486487054448,6.87931034482759,5.45454545454545,2.35511825014622,1.94513490111863,3.58620689655172,4.54545454545455,2.52033472267823,2.01724169827616,98,"cyclone","ci-clón",2,6,2.97,1
"201","ciego",72,3.72222222222222,1.9516856002738,4.38888888888889,2.27389072510839,4.98611111111111,2.23602423552309,55,17,3.50909090909091,4.41176470588235,1.95194800394401,1.8391174353957,4.38181818181818,4.41176470588235,2.35301940848356,2.06333539231422,4.72727272727273,5.82352941176471,2.32900030576263,1.70423348303743,43,"blind","cie-go",2,5,18.29,2
"202","cielo",74,7.75675675675676,1.69455866328371,2.41891891891892,2.04072748750717,7.59459459459459,1.87206514726032,58,16,7.74137931034483,7.8125,1.73266192962489,1.60078105935821,2.39655172413793,2.5,2.03426485857214,2.12916258968951,7.51724137931035,7.875,1.93980808700192,1.62788205960997,205,"heaven","cie-lo",2,5,85.81,1
"203","ciempiés",67,3.80597014925373,2.2845913763015,5.23880597014925,2.2836013041526,4.86567164179105,1.93762993611658,46,21,3.23913043478261,5.04761904761905,1.86410279412192,2.65473521233645,5.45652173913043,4.76190476190476,2.21817263869891,2.40634083007295,4.73913043478261,5.14285714285714,1.75669870443518,2.30836986390211,363,"roach","ciem-piés",2,8,0.46,1
"204","circo",84,6.05952380952381,2.21903696943414,4.48809523809524,2.3922266061974,6.09523809523809,2.07462609561423,57,27,6.17543859649123,5.81481481481481,2.24501675954247,2.18450904600548,4.6140350877193,4.22222222222222,2.32804628363503,2.54699420634981,5.82456140350877,6.66666666666667,2.07125571830872,2,72,"circus","cir-co",2,5,12.61,1
